id,label,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_in_sequence,sequence_length
seq7688,both,17.0,119.0,90.0,8,150
seq7689,B_only,,57.0,,13,150
seq7690,both,9.0,100.0,80.0,9,150
seq7691,both,30.0,123.0,80.0,11,150
seq7692,both,16.0,64.0,40.0,9,150
seq7693,both,51.0,143.0,80.0,10,150
seq7694,B_only,,118.0,,13,150
seq7695,both,13.0,118.0,90.0,11,150
seq7696,B_only,,73.0,,14,150
seq7697,A_only,109.0,,,13,150
seq7698,B_only,,142.0,,15,150
seq7699,both,109.0,137.0,20.0,12,150
seq7700,both,23.0,62.0,30.0,12,150
seq7701,B_only,,63.0,,14,150
seq7702,no_motif,,,,15,150
seq7703,A_only,140.0,,,15,150
seq7704,both,19.0,37.0,10.0,12,150
seq7705,both,38.0,137.0,90.0,6,150
seq7706,A_only,84.0,,,13,150
seq7707,B_only,,129.0,,13,150
seq7708,both,42.0,79.0,30.0,0,150
seq7709,both,56.0,85.0,20.0,12,150
seq7710,A_only,67.0,,,0,150
seq7711,A_only,17.0,,,0,150
seq7712,A_only,82.0,,,14,150
seq7713,no_motif,,,,15,150
seq7714,both,95.0,123.0,20.0,12,150
seq7715,both,9.0,118.0,100.0,5,150
seq7716,B_only,,116.0,,13,150
seq7717,both,88.0,105.0,10.0,0,150
seq7718,both,56.0,133.0,70.0,0,150
seq7719,both,24.0,52.0,20.0,12,150
seq7720,both,28.0,85.0,50.0,0,150
seq7721,no_motif,,,,15,150
seq7722,no_motif,,,,0,150
seq7723,both,30.0,58.0,20.0,12,150
seq7724,both,9.0,96.0,80.0,0,150
seq7725,A_only,55.0,,,13,150
seq7726,both,58.0,87.0,20.0,12,150
seq7727,A_only,6.0,,,14,150
seq7728,A_only,121.0,,,0,150
seq7729,both,13.0,53.0,30.0,13,150
seq7730,both,64.0,123.0,50.0,10,150
seq7731,A_only,62.0,,,0,150
seq7732,both,21.0,90.0,60.0,9,150
seq7733,both,48.0,66.0,10.0,12,150
seq7734,B_only,,57.0,,0,150
seq7735,A_only,16.0,,,13,150
seq7736,both,30.0,125.0,80.0,12,150
seq7737,A_only,2.0,,,15,150
seq7738,A_only,30.0,,,14,150
seq7739,no_motif,,,,15,150
seq7740,no_motif,,,,15,150
seq7741,both,36.0,139.0,90.0,10,150
seq7742,B_only,,27.0,,13,150
seq7743,both,63.0,121.0,50.0,9,150
seq7744,both,10.0,28.0,10.0,13,150
seq7745,A_only,79.0,,,13,150
seq7746,both,67.0,126.0,50.0,9,150
seq7747,B_only,,99.0,,13,150
seq7748,B_only,,120.0,,0,150
seq7749,B_only,,15.0,,13,150
seq7750,both,73.0,140.0,60.0,0,150
seq7751,A_only,101.0,,,14,150
seq7752,no_motif,,,,15,150
seq7753,both,10.0,27.0,10.0,0,150
seq7754,both,37.0,105.0,60.0,7,150
seq7755,no_motif,,,,15,150
seq7756,B_only,,76.0,,13,150
seq7757,B_only,,141.0,,15,150
seq7758,both,7.0,86.0,70.0,8,150
seq7759,no_motif,,,,0,150
seq7760,B_only,,93.0,,14,150
seq7761,both,35.0,132.0,90.0,0,150
seq7762,A_only,125.0,,,13,150
seq7763,A_only,101.0,,,0,150
seq7764,B_only,,29.0,,13,150
seq7765,B_only,,12.0,,0,150
seq7766,both,68.0,136.0,60.0,8,150
seq7767,A_only,72.0,,,0,150
seq7768,both,19.0,96.0,70.0,0,150
seq7769,both,88.0,136.0,40.0,10,150
seq7770,no_motif,,,,15,150
seq7771,both,11.0,94.0,70.0,11,150
seq7772,both,100.0,129.0,20.0,13,150
seq7773,B_only,,98.0,,13,150
seq7774,B_only,,91.0,,14,150
seq7775,both,73.0,140.0,60.0,0,150
seq7776,B_only,,45.0,,13,150
seq7777,no_motif,,,,0,150
seq7778,both,59.0,116.0,50.0,0,150
seq7779,B_only,,65.0,,13,150
seq7780,both,11.0,92.0,70.0,10,150
seq7781,B_only,,36.0,,13,150
seq7782,B_only,,12.0,,14,150
seq7783,both,29.0,47.0,10.0,12,150
seq7784,both,25.0,140.0,100.0,11,150
seq7785,no_motif,,,,15,150
seq7786,no_motif,,,,15,150
seq7787,B_only,,34.0,,13,150
seq7788,B_only,,37.0,,13,150
seq7789,B_only,,112.0,,14,150
seq7790,both,80.0,138.0,50.0,10,150
seq7791,B_only,,16.0,,13,150
seq7792,B_only,,141.0,,15,150
seq7793,A_only,37.0,,,13,150
seq7794,A_only,74.0,,,13,150
seq7795,A_only,90.0,,,14,150
seq7796,both,20.0,129.0,100.0,5,150
seq7797,no_motif,,,,15,150
seq7798,B_only,,70.0,,0,150
seq7799,A_only,130.0,,,14,150
seq7800,A_only,66.0,,,13,150
seq7801,both,101.0,119.0,10.0,13,150
seq7802,A_only,81.0,,,14,150
seq7803,B_only,,33.0,,0,150
seq7804,B_only,,1.0,,15,150
seq7805,B_only,,140.0,,0,150
seq7806,both,44.0,128.0,70.0,12,150
seq7807,A_only,64.0,,,13,150
seq7808,A_only,26.0,,,13,150
seq7809,both,48.0,118.0,60.0,9,150
seq7810,B_only,,113.0,,14,150
seq7811,A_only,141.0,,,0,150
seq7812,A_only,10.0,,,14,150
seq7813,B_only,,101.0,,14,150
seq7814,both,51.0,68.0,10.0,0,150
seq7815,B_only,,20.0,,14,150
seq7816,both,22.0,134.0,100.0,8,150
seq7817,A_only,75.0,,,13,150
seq7818,both,55.0,125.0,60.0,9,150
seq7819,B_only,,92.0,,14,150
seq7820,both,13.0,101.0,80.0,6,150
seq7821,B_only,,77.0,,0,150
seq7822,A_only,62.0,,,14,150
seq7823,B_only,,100.0,,14,150
seq7824,A_only,25.0,,,13,150
seq7825,both,10.0,124.0,100.0,9,150
seq7826,both,15.0,63.0,40.0,10,150
seq7827,B_only,,28.0,,13,150
seq7828,A_only,8.0,,,14,150
seq7829,B_only,,15.0,,13,150
seq7830,both,23.0,114.0,80.0,8,150
seq7831,A_only,111.0,,,14,150
seq7832,both,59.0,141.0,70.0,11,150
seq7833,both,98.0,137.0,30.0,12,150
seq7834,B_only,,1.0,,15,150
seq7835,no_motif,,,,15,150
seq7836,no_motif,,,,15,150
seq7837,both,14.0,121.0,100.0,0,150
seq7838,both,64.0,82.0,10.0,13,150
seq7839,B_only,,46.0,,13,150
seq7840,A_only,136.0,,,14,150
seq7841,B_only,,78.0,,0,150
seq7842,A_only,73.0,,,14,150
seq7843,B_only,,137.0,,14,150
seq7844,B_only,,104.0,,13,150
seq7845,no_motif,,,,15,150
seq7846,both,1.0,98.0,90.0,0,150
seq7847,A_only,142.0,,,15,150
seq7848,B_only,,122.0,,0,150
seq7849,A_only,20.0,,,0,150
seq7850,both,14.0,103.0,80.0,7,150
seq7851,A_only,62.0,,,14,150
seq7852,A_only,52.0,,,14,150
seq7853,A_only,114.0,,,13,150
seq7854,B_only,,44.0,,0,150
seq7855,A_only,109.0,,,13,150
seq7856,both,98.0,137.0,30.0,12,150
seq7857,both,36.0,140.0,90.0,11,150
seq7858,B_only,,91.0,,14,150
seq7859,B_only,,121.0,,0,150
seq7860,A_only,126.0,,,13,150
seq7861,both,37.0,139.0,90.0,9,150
seq7862,both,45.0,132.0,80.0,0,150
seq7863,A_only,69.0,,,13,150
seq7864,no_motif,,,,15,150
seq7865,A_only,143.0,,,14,150
seq7866,B_only,,17.0,,13,150
seq7867,both,1.0,28.0,20.0,0,150
seq7868,B_only,,100.0,,0,150
seq7869,both,69.0,120.0,40.0,12,150
seq7870,A_only,111.0,,,0,150
seq7871,B_only,,129.0,,13,150
seq7872,A_only,93.0,,,14,150
seq7873,A_only,57.0,,,13,150
seq7874,both,23.0,124.0,90.0,7,150
seq7875,B_only,,47.0,,13,150
seq7876,A_only,119.0,,,0,150
seq7877,A_only,59.0,,,0,150
seq7878,B_only,,83.0,,14,150
seq7879,both,56.0,125.0,60.0,8,150
seq7880,B_only,,51.0,,0,150
seq7881,no_motif,,,,0,150
seq7882,A_only,45.0,,,13,150
seq7883,B_only,,73.0,,14,150
seq7884,both,2.0,81.0,70.0,9,150
seq7885,B_only,,102.0,,14,150
seq7886,both,35.0,132.0,90.0,0,150
seq7887,A_only,99.0,,,13,150
seq7888,A_only,127.0,,,13,150
seq7889,both,92.0,139.0,40.0,0,150
seq7890,both,33.0,50.0,10.0,0,150
seq7891,B_only,,50.0,,14,150
seq7892,A_only,8.0,,,14,150
seq7893,both,27.0,45.0,10.0,12,150
seq7894,both,23.0,100.0,70.0,0,150
seq7895,both,23.0,139.0,100.0,12,150
seq7896,both,29.0,142.0,100.0,9,150
seq7897,B_only,,80.0,,14,150
seq7898,both,102.0,131.0,20.0,13,150
seq7899,B_only,,78.0,,0,150
seq7900,both,44.0,62.0,10.0,13,150
seq7901,A_only,5.0,,,14,150
seq7902,A_only,43.0,,,14,150
seq7903,both,7.0,74.0,60.0,0,150
seq7904,A_only,107.0,,,0,150
seq7905,no_motif,,,,0,150
seq7906,both,44.0,139.0,80.0,13,150
seq7907,both,38.0,56.0,10.0,12,150
seq7908,both,93.0,111.0,10.0,13,150
seq7909,both,13.0,118.0,90.0,11,150
seq7910,B_only,,31.0,,14,150
seq7911,both,48.0,76.0,20.0,11,150
seq7912,both,77.0,116.0,30.0,11,150
seq7913,both,34.0,124.0,80.0,7,150
seq7914,A_only,21.0,,,14,150
seq7915,A_only,123.0,,,14,150
seq7916,B_only,,124.0,,13,150
seq7917,B_only,,89.0,,13,150
seq7918,no_motif,,,,15,150
seq7919,both,89.0,129.0,30.0,12,150
seq7920,A_only,32.0,,,14,150
seq7921,B_only,,94.0,,0,150
seq7922,A_only,57.0,,,13,150
seq7923,A_only,128.0,,,0,150
seq7924,no_motif,,,,15,150
seq7925,B_only,,126.0,,13,150
seq7926,B_only,,102.0,,0,150
seq7927,A_only,115.0,,,0,150
seq7928,both,65.0,83.0,10.0,13,150
seq7929,no_motif,,,,15,150
seq7930,both,11.0,72.0,50.0,12,150
seq7931,both,47.0,87.0,30.0,12,150
seq7932,B_only,,102.0,,14,150
seq7933,both,30.0,127.0,90.0,0,150
seq7934,both,4.0,119.0,100.0,11,150
seq7935,A_only,136.0,,,14,150
seq7936,B_only,,30.0,,14,150
seq7937,both,24.0,92.0,60.0,8,150
seq7938,both,1.0,109.0,100.0,5,150
seq7939,both,67.0,128.0,50.0,11,150
seq7940,both,19.0,123.0,90.0,10,150
seq7941,both,100.0,118.0,10.0,13,150
seq7942,both,34.0,102.0,60.0,8,150
seq7943,B_only,,48.0,,13,150
seq7944,B_only,,47.0,,13,150
seq7945,both,21.0,132.0,100.0,7,150
seq7946,both,23.0,52.0,20.0,13,150
seq7947,both,54.0,136.0,70.0,11,150
seq7948,B_only,,35.0,,13,150
seq7949,both,2.0,81.0,70.0,9,150
seq7950,both,21.0,138.0,100.0,13,150
seq7951,both,106.0,135.0,20.0,13,150
seq7952,B_only,,118.0,,13,150
seq7953,A_only,108.0,,,13,150
seq7954,both,34.0,126.0,80.0,9,150
seq7955,both,81.0,110.0,20.0,13,150
seq7956,both,44.0,125.0,70.0,9,150
seq7957,both,38.0,95.0,50.0,0,150
seq7958,both,15.0,98.0,70.0,11,150
seq7959,A_only,142.0,,,0,150
seq7960,both,82.0,142.0,50.0,12,150
seq7961,no_motif,,,,15,150
seq7962,A_only,38.0,,,13,150
seq7963,both,46.0,85.0,30.0,11,150
seq7964,B_only,,74.0,,0,150
seq7965,both,72.0,90.0,10.0,13,150
seq7966,both,12.0,79.0,60.0,0,150
seq7967,both,20.0,38.0,10.0,13,150
seq7968,B_only,,38.0,,13,150
seq7969,B_only,,6.0,,14,150
seq7970,B_only,,82.0,,14,150
seq7971,B_only,,92.0,,14,150
seq7972,both,21.0,78.0,50.0,0,150
seq7973,B_only,,37.0,,13,150
seq7974,B_only,,49.0,,13,150
seq7975,both,94.0,112.0,10.0,13,150
seq7976,B_only,,141.0,,15,150
seq7977,B_only,,97.0,,13,150
seq7978,A_only,52.0,,,0,150
seq7979,no_motif,,,,15,150
seq7980,B_only,,76.0,,0,150
seq7981,A_only,35.0,,,13,150
seq7982,A_only,67.0,,,13,150
seq7983,B_only,,68.0,,13,150
seq7984,both,51.0,129.0,70.0,7,150
seq7985,B_only,,57.0,,13,150
seq7986,A_only,134.0,,,14,150
seq7987,A_only,77.0,,,13,150
seq7988,no_motif,,,,15,150
seq7989,A_only,45.0,,,13,150
seq7990,both,72.0,134.0,50.0,13,150
seq7991,B_only,,81.0,,14,150
seq7992,both,24.0,51.0,20.0,0,150
seq7993,A_only,103.0,,,14,150
seq7994,both,25.0,127.0,90.0,8,150
seq7995,both,13.0,102.0,80.0,7,150
seq7996,both,40.0,89.0,40.0,11,150
seq7997,B_only,,135.0,,14,150
seq7998,no_motif,,,,0,150
seq7999,both,11.0,113.0,90.0,9,150
seq8000,B_only,,49.0,,13,150
seq8001,both,44.0,128.0,70.0,12,150
seq8002,B_only,,4.0,,14,150
seq8003,B_only,,104.0,,0,150
seq8004,both,34.0,61.0,20.0,0,150
seq8005,B_only,,105.0,,0,150
seq8006,B_only,,12.0,,0,150
seq8007,B_only,,99.0,,13,150
seq8008,B_only,,55.0,,13,150
seq8009,both,12.0,62.0,40.0,12,150
seq8010,both,40.0,127.0,80.0,0,150
seq8011,A_only,140.0,,,15,150
seq8012,both,20.0,69.0,40.0,11,150
seq8013,A_only,47.0,,,0,150
seq8014,B_only,,29.0,,13,150
seq8015,both,42.0,129.0,80.0,0,150
seq8016,A_only,49.0,,,0,150
seq8017,A_only,97.0,,,13,150
seq8018,A_only,53.0,,,14,150
seq8019,both,37.0,76.0,30.0,11,150
seq8020,B_only,,132.0,,14,150
seq8021,both,28.0,139.0,100.0,7,150
seq8022,B_only,,91.0,,14,150
seq8023,both,8.0,26.0,10.0,13,150
seq8024,both,11.0,118.0,100.0,0,150
seq8025,A_only,61.0,,,14,150
seq8026,both,28.0,96.0,60.0,7,150
seq8027,A_only,1.0,,,15,150
seq8028,both,17.0,130.0,100.0,8,150
seq8029,both,1.0,100.0,90.0,7,150
seq8030,both,42.0,80.0,30.0,11,150
seq8031,both,28.0,125.0,90.0,0,150
seq8032,A_only,0.0,,,14,150
seq8033,no_motif,,,,15,150
seq8034,A_only,30.0,,,0,150
seq8035,both,48.0,135.0,80.0,0,150
seq8036,A_only,88.0,,,0,150
seq8037,B_only,,43.0,,14,150
seq8038,A_only,1.0,,,15,150
seq8039,A_only,140.0,,,15,150
seq8040,A_only,73.0,,,14,150
seq8041,B_only,,74.0,,13,150
seq8042,B_only,,35.0,,13,150
seq8043,B_only,,69.0,,13,150
seq8044,B_only,,38.0,,13,150
seq8045,both,19.0,121.0,90.0,8,150
seq8046,both,53.0,110.0,50.0,0,150
seq8047,B_only,,99.0,,13,150
seq8048,no_motif,,,,15,150
seq8049,both,7.0,45.0,30.0,11,150
seq8050,B_only,,12.0,,14,150
seq8051,A_only,78.0,,,13,150
seq8052,both,22.0,40.0,10.0,13,150
seq8053,B_only,,140.0,,15,150
seq8054,both,34.0,113.0,70.0,8,150
seq8055,both,13.0,90.0,70.0,0,150
seq8056,A_only,72.0,,,14,150
seq8057,both,34.0,107.0,60.0,12,150
seq8058,A_only,96.0,,,13,150
seq8059,no_motif,,,,15,150
seq8060,A_only,42.0,,,0,150
seq8061,A_only,95.0,,,13,150
seq8062,A_only,111.0,,,14,150
seq8063,no_motif,,,,0,150
seq8064,A_only,67.0,,,13,150
seq8065,no_motif,,,,15,150
seq8066,A_only,80.0,,,14,150
seq8067,A_only,8.0,,,14,150
seq8068,both,11.0,29.0,10.0,13,150
seq8069,both,25.0,119.0,80.0,11,150
seq8070,A_only,102.0,,,14,150
seq8071,no_motif,,,,15,150
seq8072,A_only,57.0,,,13,150
seq8073,B_only,,41.0,,14,150
seq8074,no_motif,,,,15,150
seq8075,both,1.0,38.0,30.0,0,150
seq8076,A_only,21.0,,,14,150
seq8077,no_motif,,,,0,150
seq8078,both,35.0,134.0,90.0,6,150
seq8079,B_only,,23.0,,14,150
seq8080,A_only,76.0,,,0,150
seq8081,B_only,,59.0,,13,150
seq8082,both,91.0,109.0,10.0,13,150
seq8083,both,68.0,128.0,50.0,10,150
seq8084,B_only,,24.0,,13,150
seq8085,no_motif,,,,15,150
seq8086,both,17.0,86.0,60.0,8,150
seq8087,A_only,72.0,,,14,150
seq8088,both,39.0,142.0,90.0,10,150
seq8089,A_only,121.0,,,14,150
seq8090,both,76.0,143.0,60.0,0,150
seq8091,both,15.0,53.0,30.0,11,150
seq8092,B_only,,109.0,,13,150
seq8093,A_only,70.0,,,14,150
seq8094,B_only,,126.0,,0,150
seq8095,both,6.0,109.0,90.0,10,150
seq8096,no_motif,,,,15,150
seq8097,both,58.0,85.0,20.0,0,150
seq8098,both,53.0,80.0,20.0,0,150
seq8099,both,12.0,126.0,100.0,9,150
seq8100,both,51.0,100.0,40.0,11,150
seq8101,both,18.0,66.0,40.0,9,150
seq8102,both,91.0,120.0,20.0,13,150
seq8103,both,7.0,98.0,80.0,9,150
seq8104,B_only,,8.0,,14,150
seq8105,both,14.0,106.0,80.0,9,150
seq8106,B_only,,26.0,,13,150
seq8107,both,17.0,57.0,30.0,12,150
seq8108,both,54.0,81.0,20.0,0,150
seq8109,both,39.0,142.0,90.0,10,150
seq8110,B_only,,8.0,,0,150
seq8111,B_only,,64.0,,0,150
seq8112,B_only,,77.0,,13,150
seq8113,both,11.0,88.0,70.0,0,150
seq8114,both,74.0,131.0,50.0,0,150
seq8115,A_only,61.0,,,14,150
seq8116,A_only,51.0,,,14,150
seq8117,both,7.0,121.0,100.0,10,150
seq8118,no_motif,,,,15,150
seq8119,both,16.0,109.0,80.0,10,150
seq8120,both,59.0,127.0,60.0,7,150
seq8121,A_only,93.0,,,14,150
seq8122,both,40.0,89.0,40.0,11,150
seq8123,both,7.0,94.0,80.0,0,150
seq8124,both,37.0,74.0,30.0,0,150
seq8125,A_only,139.0,,,14,150
seq8126,B_only,,136.0,,0,150
seq8127,both,27.0,108.0,70.0,9,150
seq8128,both,22.0,119.0,90.0,0,150
seq8129,both,51.0,140.0,80.0,8,150
seq8130,B_only,,88.0,,0,150
seq8131,A_only,14.0,,,13,150
seq8132,both,0.0,104.0,90.0,10,150
seq8133,no_motif,,,,15,150
seq8134,both,71.0,120.0,40.0,11,150
seq8135,both,69.0,87.0,10.0,12,150
seq8136,B_only,,34.0,,13,150
seq8137,B_only,,111.0,,14,150
seq8138,B_only,,97.0,,13,150
seq8139,both,58.0,86.0,20.0,11,150
seq8140,B_only,,33.0,,14,150
seq8141,B_only,,85.0,,13,150
seq8142,both,16.0,33.0,10.0,0,150
seq8143,both,49.0,87.0,30.0,10,150
seq8144,both,12.0,82.0,60.0,10,150
seq8145,B_only,,55.0,,13,150
seq8146,both,21.0,118.0,90.0,0,150
seq8147,both,45.0,63.0,10.0,13,150
seq8148,A_only,62.0,,,14,150
seq8149,both,58.0,86.0,20.0,11,150
seq8150,both,69.0,118.0,40.0,10,150
seq8151,no_motif,,,,0,150
seq8152,both,47.0,124.0,70.0,0,150
seq8153,B_only,,117.0,,0,150
seq8154,both,88.0,106.0,10.0,12,150
seq8155,both,20.0,117.0,90.0,0,150
seq8156,A_only,134.0,,,14,150
seq8157,both,61.0,138.0,70.0,0,150
seq8158,no_motif,,,,0,150
seq8159,A_only,124.0,,,0,150
seq8160,both,3.0,80.0,70.0,0,150
seq8161,A_only,131.0,,,14,150
seq8162,A_only,16.0,,,0,150
seq8163,B_only,,51.0,,14,150
seq8164,no_motif,,,,0,150
seq8165,A_only,23.0,,,0,150
seq8166,A_only,15.0,,,13,150
seq8167,no_motif,,,,15,150
seq8168,both,34.0,143.0,100.0,5,150
seq8169,both,33.0,71.0,30.0,11,150
seq8170,A_only,9.0,,,14,150
seq8171,B_only,,75.0,,0,150
seq8172,B_only,,77.0,,13,150
seq8173,both,27.0,56.0,20.0,12,150
seq8174,both,28.0,143.0,100.0,10,150
seq8175,no_motif,,,,0,150
seq8176,both,29.0,134.0,90.0,11,150
seq8177,both,0.0,48.0,40.0,10,150
seq8178,A_only,46.0,,,13,150
seq8179,B_only,,83.0,,0,150
seq8180,both,52.0,130.0,70.0,7,150
seq8181,B_only,,67.0,,0,150
seq8182,no_motif,,,,15,150
seq8183,both,60.0,97.0,30.0,0,150
seq8184,both,114.0,142.0,20.0,13,150
seq8185,both,34.0,127.0,80.0,10,150
seq8186,B_only,,143.0,,14,150
seq8187,A_only,1.0,,,0,150
seq8188,both,35.0,117.0,70.0,10,150
seq8189,both,4.0,107.0,90.0,10,150
seq8190,no_motif,,,,15,150
seq8191,both,27.0,136.0,100.0,5,150
seq8192,B_only,,0.0,,14,150
seq8193,A_only,105.0,,,0,150
seq8194,A_only,109.0,,,13,150
seq8195,both,97.0,136.0,30.0,12,150
seq8196,both,2.0,112.0,100.0,7,150
seq8197,both,28.0,105.0,70.0,0,150
seq8198,both,0.0,47.0,40.0,0,150
seq8199,B_only,,112.0,,14,150
seq8200,both,17.0,124.0,100.0,0,150
seq8201,both,3.0,111.0,100.0,5,150
seq8202,B_only,,126.0,,0,150
seq8203,A_only,102.0,,,14,150
seq8204,both,33.0,81.0,40.0,10,150
seq8205,both,4.0,81.0,70.0,0,150
seq8206,B_only,,37.0,,13,150
seq8207,both,24.0,121.0,90.0,0,150
seq8208,both,1.0,39.0,30.0,12,150
seq8209,no_motif,,,,15,150
seq8210,B_only,,42.0,,14,150
seq8211,both,28.0,116.0,80.0,5,150
seq8212,no_motif,,,,15,150
seq8213,A_only,115.0,,,13,150
seq8214,both,49.0,88.0,30.0,11,150
seq8215,B_only,,62.0,,14,150
seq8216,both,63.0,102.0,30.0,12,150
seq8217,B_only,,97.0,,13,150
seq8218,A_only,102.0,,,14,150
seq8219,A_only,3.0,,,0,150
seq8220,both,57.0,84.0,20.0,0,150
seq8221,both,112.0,140.0,20.0,13,150
seq8222,both,36.0,135.0,90.0,6,150
seq8223,both,28.0,75.0,40.0,0,150
seq8224,A_only,37.0,,,13,150
seq8225,no_motif,,,,15,150
seq8226,A_only,16.0,,,13,150
seq8227,both,27.0,130.0,90.0,9,150
seq8228,B_only,,13.0,,14,150
seq8229,A_only,81.0,,,14,150
seq8230,no_motif,,,,15,150
seq8231,B_only,,52.0,,14,150
seq8232,both,2.0,42.0,30.0,14,150
seq8233,both,12.0,117.0,90.0,11,150
seq8234,A_only,24.0,,,0,150
seq8235,both,3.0,97.0,80.0,12,150
seq8236,both,33.0,121.0,80.0,6,150
seq8237,both,55.0,103.0,40.0,10,150
seq8238,no_motif,,,,15,150
seq8239,A_only,13.0,,,14,150
seq8240,B_only,,113.0,,14,150
seq8241,both,31.0,49.0,10.0,13,150
seq8242,B_only,,23.0,,0,150
seq8243,A_only,1.0,,,15,150
seq8244,B_only,,26.0,,13,150
seq8245,both,56.0,126.0,60.0,9,150
seq8246,both,3.0,101.0,90.0,6,150
seq8247,B_only,,31.0,,14,150
seq8248,both,9.0,38.0,20.0,13,150
seq8249,B_only,,44.0,,13,150
seq8250,B_only,,42.0,,14,150
seq8251,A_only,98.0,,,13,150
seq8252,A_only,49.0,,,0,150
seq8253,both,29.0,116.0,80.0,0,150
seq8254,both,7.0,25.0,10.0,13,150
seq8255,A_only,81.0,,,14,150
seq8256,A_only,143.0,,,14,150
seq8257,B_only,,16.0,,13,150
seq8258,B_only,,114.0,,13,150
seq8259,A_only,4.0,,,14,150
seq8260,both,19.0,132.0,100.0,8,150
seq8261,B_only,,101.0,,14,150
seq8262,B_only,,56.0,,13,150
seq8263,both,48.0,87.0,30.0,11,150
seq8264,both,1.0,59.0,50.0,10,150
seq8265,both,36.0,117.0,70.0,9,150
seq8266,A_only,102.0,,,0,150
seq8267,B_only,,81.0,,14,150
seq8268,both,11.0,62.0,40.0,13,150
seq8269,both,115.0,143.0,20.0,12,150
seq8270,both,46.0,64.0,10.0,12,150
seq8271,no_motif,,,,15,150
seq8272,B_only,,96.0,,13,150
seq8273,both,103.0,132.0,20.0,13,150
seq8274,no_motif,,,,0,150
seq8275,both,13.0,125.0,100.0,7,150
seq8276,both,0.0,67.0,60.0,0,150
seq8277,no_motif,,,,0,150
seq8278,A_only,23.0,,,14,150
seq8279,both,26.0,133.0,100.0,0,150
seq8280,both,52.0,130.0,70.0,7,150
seq8281,both,32.0,139.0,100.0,0,150
seq8282,B_only,,17.0,,0,150
seq8283,no_motif,,,,15,150
seq8284,both,29.0,116.0,80.0,0,150
seq8285,B_only,,134.0,,14,150
seq8286,A_only,30.0,,,0,150
seq8287,B_only,,4.0,,0,150
seq8288,no_motif,,,,15,150
seq8289,both,27.0,124.0,90.0,0,150
seq8290,both,23.0,129.0,90.0,12,150
seq8291,B_only,,125.0,,13,150
seq8292,both,4.0,74.0,60.0,10,150
seq8293,A_only,78.0,,,0,150
seq8294,both,3.0,81.0,70.0,8,150
seq8295,A_only,10.0,,,0,150
seq8296,both,17.0,74.0,50.0,0,150
seq8297,A_only,18.0,,,0,150
seq8298,no_motif,,,,0,150
seq8299,B_only,,35.0,,13,150
seq8300,no_motif,,,,15,150
seq8301,A_only,108.0,,,13,150
seq8302,no_motif,,,,15,150
seq8303,B_only,,106.0,,13,150
seq8304,both,107.0,125.0,10.0,12,150
seq8305,A_only,73.0,,,14,150
seq8306,no_motif,,,,15,150
seq8307,no_motif,,,,15,150
seq8308,B_only,,66.0,,0,150
seq8309,both,61.0,89.0,20.0,12,150
seq8310,A_only,134.0,,,14,150
seq8311,B_only,,98.0,,0,150
seq8312,no_motif,,,,0,150
seq8313,A_only,45.0,,,0,150
seq8314,both,0.0,95.0,80.0,12,150
seq8315,A_only,30.0,,,14,150
seq8316,both,48.0,119.0,60.0,10,150
seq8317,A_only,104.0,,,13,150
seq8318,both,89.0,117.0,20.0,11,150
seq8319,B_only,,85.0,,13,150
seq8320,both,28.0,111.0,70.0,11,150
seq8321,B_only,,135.0,,0,150
seq8322,both,82.0,121.0,30.0,12,150
seq8323,no_motif,,,,15,150
seq8324,B_only,,76.0,,0,150
seq8325,no_motif,,,,15,150
seq8326,both,41.0,78.0,30.0,0,150
seq8327,both,10.0,80.0,60.0,10,150
seq8328,no_motif,,,,15,150
seq8329,B_only,,91.0,,14,150
seq8330,both,37.0,134.0,90.0,0,150
seq8331,A_only,81.0,,,14,150
seq8332,both,1.0,98.0,90.0,0,150
seq8333,both,91.0,141.0,40.0,13,150
seq8334,B_only,,120.0,,14,150
seq8335,both,9.0,69.0,50.0,11,150
seq8336,both,0.0,27.0,20.0,0,150
seq8337,A_only,56.0,,,13,150
seq8338,both,35.0,73.0,30.0,11,150
seq8339,B_only,,56.0,,13,150
seq8340,no_motif,,,,15,150
seq8341,both,42.0,60.0,10.0,13,150
seq8342,both,19.0,126.0,100.0,0,150
seq8343,B_only,,110.0,,14,150
seq8344,both,14.0,125.0,100.0,6,150
seq8345,both,93.0,133.0,30.0,13,150
seq8346,both,71.0,131.0,50.0,11,150
seq8347,A_only,86.0,,,13,150
seq8348,A_only,22.0,,,14,150
seq8349,A_only,39.0,,,0,150
seq8350,both,24.0,74.0,40.0,11,150
seq8351,B_only,,134.0,,14,150
seq8352,A_only,85.0,,,13,150
seq8353,both,47.0,119.0,60.0,11,150
seq8354,both,32.0,50.0,10.0,13,150
seq8355,both,54.0,81.0,20.0,0,150
seq8356,B_only,,100.0,,14,150
seq8357,A_only,41.0,,,14,150
seq8358,both,4.0,44.0,30.0,13,150
seq8359,no_motif,,,,0,150
seq8360,both,33.0,110.0,70.0,0,150
seq8361,B_only,,135.0,,14,150
seq8362,B_only,,21.0,,14,150
seq8363,both,29.0,134.0,90.0,11,150
seq8364,B_only,,17.0,,13,150
seq8365,both,4.0,31.0,20.0,0,150
seq8366,B_only,,14.0,,13,150
seq8367,B_only,,12.0,,0,150
seq8368,B_only,,140.0,,0,150
